,Buyer,Average Purchase Price
274,583455 Saskatchewan Limited - Triple Seven Chrysler,110.36103626943006
275,5911 Car Sales Limited,107.86371428571428
276,59973 Nl And Lab Inc,92.145
277,6140875 Manitoba Limited - Winnipeg West Automotive Group,96.1042857142857
278,616 Auto And Sales,122.3025
279,620349 Bc Limited Azro Tireland,162.22000000000003
280,627000 Ontario Limited - Pastime Motors,99.39950819672134
281,6462103 Canada Inc - Oj Auto Sales,63.96619047619048
282,653507 Nb Inc - Lancaster Vehicle Center,97.12066666666668
283,6546587 Canada Inc,113.6
284,659820 Bc Limited,95.225
285,6602401 Manitoba Limited - Boyce Auto Sales,155.49588235294118
286,6794491 Canada Inc,37.63
287,684738 Nb Limited - Volvo Cars New Brunswick,98.13
288,6929290 Canada Corporation,110.79304832713756
289,694005 Nb Inc - Trevors Mitsubishi,108.3
290,6Ix Motors,92.4325
291,708837 Nb Inc,93.78992366412214
292,7109172 Canada Inc - Auto Shelby,96.4983163265306
293,715 Motor Haus,104.63208333333334
294,715 Motor Haus Limited,92.5175
295,7179597 Manitoba Limited,-11.9
296,726232 Nb Inc,193.875
297,7523026 Manitoba Limited,100.43714285714286
298,7551658 Manitoba - Rebecca Nielsen,120.22
299,7598514 Manitoba Inc,89.69
300,771922 Alberta Inc - North Hill Mazda,111.56263157894738
301,7767579 Canada Inc - Nexgen Cars Canada,109.89067846607668
302,780Cars,53.12818181818182
303,8072060 Canada Inc,30.47666666666667
304,8491097 Canada Inc Groupe Ttt,113.0542857142857
305,8540683 Canada Limited - Best Motors,103.285
306,8589682 Canada Inc,111.808
307,8590729 Canada Inc,102.23
308,8709173 Canada Inc,120.4425
309,88 Auto Inc,90.53
310,88 Auto On Mcphillips Inc,115.764
311,89 Auto Sales Inc,111.18
312,9 Auto Sales,99.3
313,9 Auto Sales Limited,94.42
314,902 Auto Sales,118.152
315,9026-7352 Quebec Inc,178.07
316,9044 9695 Quebec Inc,114.62
317,905 Auto Sales Inc,55.93
318,9060-7292 Quebec Inc - Rd Auto,103.953
319,9060-7292 Quebec Incrd Auto,122.55599999999995
320,9078 6518 Quebec Inc,110.82
321,9082-1505 Quebec Inc Erol Auto Pneu,-49.06
322,9082-1505 Quebec Inc - Erol Auto Pneu,158.37636363636364
323,9083-9796 Quebec Inc - Auto Bonjour,93.27085714285712
324,9084-1404 Quebec Inc,257.29
325,9087-9990 Quebec Inc Axess Auto,71.86
326,9109 4672 Quebec Inc,174.91266666666667
327,9110-7334 Quebec Inc - Speck-Auto-Speck,88.87838709677416
328,9112 0436 Quebec Inc,98.49888888888889
329,9116-1950 Quebec Inc,159.43
330,9126 8466 Quebec Inc,107.875
331,9131-2561 Quebec Inc - Entrepot Auto Durocher,107.4952
332,9137-4330 Quebec Inc - Centre Auto Cml,101.7425
333,9142-7096 Quebec Inc - Gma Auto,102.24
334,9142-9985 Quebec Inc,67.45
335,9149-1670 Quebec Inc,177.64999999999998
